row,file,s_file,name,s_name,profile,first_statement,locals,numparms,parm_start,parm_size
0,unknown.qc,0,func000000,0,0,0,0,0,0,00000000
1,defs.qc,1,makevectors,9,0,-1,0,1,497,30000000
2,defs.qc,1,setorigin,21,0,-2,0,2,498,13000000
3,defs.qc,1,setmodel,31,0,-3,0,2,499,11000000
4,defs.qc,1,setsize,40,0,-4,0,3,500,13300000
5,defs.qc,1,break,48,0,-6,0,0,501,00000000
6,defs.qc,1,random,54,0,-7,0,0,502,00000000
7,defs.qc,1,sound,61,0,-8,0,5,503,11111000
8,defs.qc,1,normalize,67,0,-9,0,1,504,30000000
9,defs.qc,1,error,77,0,-10,0,1,505,10000000
10,defs.qc,1,objerror,83,0,-11,0,1,506,10000000
11,defs.qc,1,vlen,92,0,-12,0,1,507,30000000
12,defs.qc,1,vectoyaw,97,0,-13,0,1,508,30000000
13,defs.qc,1,spawn,106,0,-14,0,0,509,00000000
14,defs.qc,1,remove,112,0,-15,0,1,510,10000000
15,defs.qc,1,traceline,119,0,-16,0,4,511,33110000
16,defs.qc,1,checkclient,129,0,-17,0,0,512,00000000
17,defs.qc,1,find,141,0,-18,0,3,513,11100000
18,defs.qc,1,precache_sound,146,0,-19,0,1,514,10000000
19,defs.qc,1,precache_model,161,0,-20,0,1,515,10000000
20,defs.qc,1,stuffcmd,176,0,-21,0,2,516,11000000
21,defs.qc,1,findradius,185,0,-22,0,2,517,31000000
22,defs.qc,1,bprint,196,0,-23,0,1,518,10000000
23,defs.qc,1,sprint,203,0,-24,0,2,519,11000000
24,defs.qc,1,dprint,210,0,-25,0,1,520,10000000
25,defs.qc,1,ftos,217,0,-26,0,1,521,10000000
26,defs.qc,1,vtos,222,0,-27,0,1,522,30000000
27,defs.qc,1,coredump,227,0,-28,0,0,523,00000000
28,defs.qc,1,traceon,236,0,-29,0,0,524,00000000
29,defs.qc,1,traceoff,244,0,-30,0,0,525,00000000
30,defs.qc,1,eprint,253,0,-31,0,1,526,10000000
31,defs.qc,1,walkmove,260,0,-32,0,2,527,11000000
32,defs.qc,1,droptofloor,269,0,-34,0,2,528,11000000
33,defs.qc,1,lightstyle,281,0,-35,0,2,529,11000000
34,defs.qc,1,rint,292,0,-36,0,1,530,10000000
35,defs.qc,1,floor,297,0,-37,0,1,531,10000000
36,defs.qc,1,ceil,303,0,-38,0,1,532,10000000
37,defs.qc,1,checkbottom,308,0,-40,0,1,533,10000000
38,defs.qc,1,pointcontents,320,0,-41,0,1,534,30000000
39,defs.qc,1,fabs,334,0,-43,0,1,535,10000000
40,defs.qc,1,aim,339,0,-44,0,2,536,11000000
41,defs.qc,1,cvar,343,0,-45,0,1,537,10000000
42,defs.qc,1,localcmd,348,0,-46,0,1,538,10000000
43,defs.qc,1,nextent,357,0,-47,0,1,539,10000000
44,defs.qc,1,particle,365,0,-48,0,4,540,33110000
45,defs.qc,1,ChangeYaw,374,0,-49,0,0,541,00000000
46,defs.qc,1,vectoangles,384,0,-51,0,1,542,30000000
47,defs.qc,1,WriteByte,396,0,-52,0,2,543,11000000
48,defs.qc,1,WriteChar,406,0,-53,0,2,544,11000000
49,defs.qc,1,WriteShort,416,0,-54,0,2,545,11000000
50,defs.qc,1,WriteLong,427,0,-55,0,2,546,11000000
51,defs.qc,1,WriteCoord,437,0,-56,0,2,547,11000000
52,defs.qc,1,WriteAngle,448,0,-57,0,2,548,11000000
53,defs.qc,1,WriteString,459,0,-58,0,2,549,11000000
54,defs.qc,1,WriteEntity,471,0,-59,0,2,550,11000000
55,defs.qc,1,movetogoal,483,0,-67,0,1,551,10000000
56,defs.qc,1,precache_file,494,0,-68,0,1,552,10000000
57,defs.qc,1,makestatic,508,0,-69,0,1,553,10000000
58,defs.qc,1,changelevel,519,0,-70,0,1,554,10000000
59,defs.qc,1,cvar_set,531,0,-72,0,2,555,11000000
60,defs.qc,1,centerprint,540,0,-73,0,2,556,11000000
61,defs.qc,1,ambientsound,552,0,-74,0,4,557,31110000
62,defs.qc,1,precache_model2,565,0,-75,0,1,558,10000000
63,defs.qc,1,precache_sound2,581,0,-76,0,1,559,10000000
64,defs.qc,1,precache_file2,597,0,-77,0,1,560,10000000
65,defs.qc,1,setspawnparms,612,0,-78,0,1,561,10000000
66,subs.qc,626,SUB_Null,634,0,1,0,0,571,00000000
67,subs.qc,626,SUB_Remove,643,0,2,0,0,571,00000000
68,subs.qc,626,SetMovedir,654,0,5,0,0,572,00000000
69,subs.qc,626,InitTrigger,666,0,25,0,0,611,00000000
70,subs.qc,626,SUB_CalcMoveEnt,678,0,42,7,4,622,13110000
71,subs.qc,626,SUB_CalcMove,715,0,50,10,3,629,31100000
72,subs.qc,626,SUB_CalcMoveDone,728,0,96,0,0,682,00000000
73,subs.qc,626,SUB_CalcAngleMoveEnt,745,0,109,7,4,693,13110000
74,subs.qc,626,SUB_CalcAngleMove,766,0,117,10,3,700,31100000
75,subs.qc,626,SUB_CalcAngleMoveDone,784,0,144,0,0,733,00000000
76,subs.qc,626,DelayThink,806,0,156,0,0,746,00000000
77,subs.qc,626,SUB_UseTargets,849,0,162,4,0,747,00000000
78,subs.qc,626,SUB_AttackFinished,864,0,249,0,1,786,10000000
79,subs.qc,626,SUB_CheckRefire,883,0,257,0,1,794,10000000
80,airmisc.qc,899,calcbit,910,0,275,0,1,803,10000000
81,airmisc.qc,899,checkcli,918,0,325,0,1,846,10000000
82,airmisc.qc,899,change_cc,927,0,335,4,1,850,10000000
83,airmisc.qc,899,check_allowed,937,0,411,2,1,876,10000000
84,airmisc.qc,899,add_allowedcraft,951,0,435,6,2,888,11000000
85,airmisc.qc,899,givefrags,968,0,463,0,3,904,11100000
86,airmisc.qc,899,giveteamfrags,978,0,471,3,2,913,11000000
87,airmisc.qc,899,teamprint,992,0,492,3,2,923,11000000
88,airmisc.qc,899,checkground,1002,0,516,0,0,934,00000000
89,airmisc.qc,899,place_targetbox,1014,0,533,10,0,946,00000000
90,airmisc.qc,899,orgia,1030,0,602,4,1,1046,10000000
91,airmisc.qc,899,setup_teament,1036,0,611,0,0,1069,00000000
92,airmisc.qc,899,send_voicemsg,2010,0,642,4,2,1089,11000000
93,fight.qc,2024,CheckAttack,2033,0,943,8,0,1307,00000000
94,fight.qc,2024,ai_face,2045,0,1017,0,0,1357,00000000
95,fight.qc,2024,ai_charge,2053,0,1027,0,1,1371,10000000
96,fight.qc,2024,ai_charge_side,2063,0,1031,4,0,1373,00000000
97,fight.qc,2024,ai_melee,2078,0,1057,4,0,1408,00000000
98,fight.qc,2024,ai_melee_side,2087,0,1085,4,0,1430,00000000
99,ai.qc,2101,anglemod,2107,0,1121,0,1,1458,10000000
100,ai.qc,2101,movetarget_f,2116,0,1133,0,0,1464,00000000
101,ai.qc,2101,path_corner,2129,0,1155,0,0,1477,00000000
102,ai.qc,2101,t_movetarget,2173,0,1161,9,0,1480,00000000
103,ai.qc,2101,range,2186,0,1271,8,1,1574,10000000
104,ai.qc,2101,visible,2192,0,1303,7,1,1626,10000000
105,ai.qc,2101,infront,2200,0,1332,5,1,1669,10000000
106,ai.qc,2101,HuntTarget,2208,0,1348,0,0,1690,00000000
107,ai.qc,2101,SightSound,2219,0,1368,1,0,1708,00000000
108,ai.qc,2101,FoundTarget,2230,0,1369,0,0,1710,00000000
109,ai.qc,2101,FindTarget,2289,0,1382,9,0,1717,00000000
110,ai.qc,2101,ai_forward,2300,0,1534,0,1,1822,10000000
111,ai.qc,2101,ai_back,2311,0,1539,0,1,1825,10000000
112,ai.qc,2101,ai_pain,2319,0,1545,0,1,1830,10000000
113,ai.qc,2101,ai_painforward,2327,0,1548,0,1,1832,10000000
114,ai.qc,2101,ai_walk,2357,0,1553,4,1,1835,10000000
115,ai.qc,2101,ai_stand,2365,0,1566,0,0,1843,00000000
116,ai.qc,2101,ai_turn,2374,0,1576,0,0,1847,00000000
117,ai.qc,2101,ChooseTurn,2382,0,1581,9,1,1847,30000000
118,ai.qc,2101,FacingIdeal,2393,0,1604,1,0,1869,00000000
119,ai.qc,2101,CheckAnyAttack,2405,0,1617,0,0,1878,00000000
120,ai.qc,2101,ai_run_melee,2420,0,1623,0,0,1880,00000000
121,ai.qc,2101,ai_run_missile,2433,0,1633,0,0,1884,00000000
122,ai.qc,2101,ai_run_slide,2448,0,1643,1,0,1888,00000000
123,ai.qc,2101,ai_run,2461,0,1668,9,1,1900,10000000
124,combat.qc,2468,CanDamage,2478,0,1746,0,2,1951,11000000
125,combat.qc,2468,Killed,2561,0,1822,3,2,2032,11000000
126,combat.qc,2468,T_Damage,2587,0,1957,10,4,2114,11110000
127,combat.qc,2468,T_RadiusDamage,2596,0,2133,10,4,2233,11110000
128,combat.qc,2468,T_BeamDamage,2628,0,2219,4,2,2333,11000000
129,weapons.qc,2641,W_Precache,2877,0,2269,0,0,2371,00000000
130,weapons.qc,2641,crandom,2888,0,2294,0,0,2384,00000000
131,weapons.qc,2641,wall_velocity,2896,0,2299,3,0,2387,00000000
132,weapons.qc,2641,SpawnMeatSpray,2928,0,2321,8,2,2417,33000000
133,weapons.qc,2641,SpawnBlood,2943,0,2359,0,3,2449,33100000
134,weapons.qc,2641,spawn_touchblood,2954,0,2367,4,1,2462,10000000
135,weapons.qc,2641,SpawnChunk,2971,0,2378,0,2,2480,33000000
136,weapons.qc,2641,ClearMultiDamage,2982,0,2385,0,0,2493,00000000
137,weapons.qc,2641,ApplyMultiDamage,2999,0,2388,0,0,2494,00000000
138,weapons.qc,2641,AddMultiDamage,3016,0,2397,0,2,2496,11000000
139,weapons.qc,2641,TraceAttack,3031,0,2409,10,2,2502,13000000
140,weapons.qc,2641,FireBullets,3043,0,2453,13,3,2544,13300000
141,weapons.qc,2641,s_explode1,3055,0,2494,0,0,2598,00000000
142,weapons.qc,2641,s_explode2,3066,0,2496,0,0,2599,00000000
143,weapons.qc,2641,s_explode3,3077,0,2498,0,0,2600,00000000
144,weapons.qc,2641,s_explode4,3088,0,2500,0,0,2601,00000000
145,weapons.qc,2641,s_explode5,3099,0,2502,0,0,2602,00000000
146,weapons.qc,2641,s_explode6,3110,0,2504,0,0,2603,00000000
147,weapons.qc,2641,BecomeExplosion,3140,0,2506,0,0,2604,00000000
148,weapons.qc,2641,T_MissileTouch,3156,0,2519,1,0,2611,00000000
149,weapons.qc,2641,LightningDamage,3171,0,2582,13,4,2647,33110000
150,weapons.qc,2641,launch_spike,3209,0,2671,0,2,2705,33000000
151,weapons.qc,2641,spike_touch,3243,0,2706,1,0,2731,00000000
152,weapons.qc,2641,superspike_touch,3255,0,2773,1,0,2754,00000000
153,weapons.qc,2641,W_SetCurrentAmmo,3272,0,2821,0,0,2770,00000000
154,weapons.qc,2641,W_BestWeapon,3289,0,2869,1,0,2797,00000000
155,weapons.qc,2641,W_CheckNoAmmo,3302,0,2883,0,0,2805,00000000
156,weapons.qc,2641,W_ChangeWeapon,3346,0,2893,3,0,2809,00000000
157,weapons.qc,2641,CheatCommand,3361,0,2937,0,0,2830,00000000
158,weapons.qc,2641,CycleWeaponCommand,3374,0,2963,2,0,2841,00000000
159,weapons.qc,2641,CycleWeaponReverseCommand,3393,0,3001,2,0,2862,00000000
160,weapons.qc,2641,ServerflagsCommand,3419,0,3039,0,0,2883,00000000
161,weapons.qc,2641,QuadCheat,3450,0,3043,0,0,2886,00000000
162,weapons.qc,2641,ImpulseCommands,3559,0,3058,4,0,2895,00000000
163,weapons.qc,2641,W_WeaponFrame,3575,0,3270,1,0,3024,00000000
164,weapons.qc,2641,SuperDamageSound,3607,0,3327,0,0,3061,00000000
165,acitems.qc,3624,check_ammo,3635,0,3345,0,2,3069,11000000
166,acitems.qc,3624,SUB_regen,3664,0,3912,0,0,3456,00000000
167,acitems.qc,3624,ACPlaceItem,3674,0,3928,1,0,3464,00000000
168,acitems.qc,3624,ACStartItem,3686,0,3940,0,0,3474,00000000
169,acitems.qc,3624,ACammo_touch,3733,0,3946,3,0,3478,00000000
170,acitems.qc,3624,item_spikes,3767,0,4076,0,0,3555,00000000
171,acitems.qc,3624,item_shells,3787,0,4095,0,0,3569,00000000
172,acitems.qc,3624,item_canshells,3806,0,4114,0,0,3576,00000000
173,acitems.qc,3624,item_rockets,3830,0,4133,0,0,3583,00000000
174,acitems.qc,3624,item_mavericks,3872,0,4152,0,0,3590,00000000
175,acitems.qc,3624,item_bombs,3908,0,4171,0,0,3603,00000000
176,acitems.qc,3624,item_cells,3925,0,4192,0,0,3614,00000000
177,acitems.qc,3624,item_mines,3957,0,4211,0,0,3621,00000000
178,acitems.qc,3624,health_touch,3986,0,4232,2,0,3635,00000000
179,acitems.qc,3624,item_health,4006,0,4298,0,0,3669,00000000
180,acitems.qc,3624,flagcollected_think,4076,0,4317,1,0,3676,00000000
181,acitems.qc,3624,flagsoldier_touch,4146,0,4350,3,0,3695,00000000
182,acitems.qc,3624,start_flagsoldier,4181,0,4465,0,0,3756,00000000
183,acitems.qc,3624,item_flagsoldier,4199,0,4514,0,0,3785,00000000
184,acitems.qc,3624,item_model,4216,0,4523,0,0,3795,00000000
185,acguns.qc,4227,s_bexplode0,4237,0,4528,0,0,3798,00000000
186,acguns.qc,4227,s_bexplode1,4249,0,4530,0,0,3799,00000000
187,acguns.qc,4227,s_bexplode2,4261,0,4532,0,0,3800,00000000
188,acguns.qc,4227,s_bexplode3,4273,0,4534,0,0,3801,00000000
189,acguns.qc,4227,s_bexplode4,4285,0,4536,0,0,3802,00000000
190,acguns.qc,4227,s_bexplode5,4297,0,4538,0,0,3803,00000000
191,acguns.qc,4227,BigExplosion,4328,0,4540,0,0,3804,00000000
192,acguns.qc,4227,WaterRadiusDamage,4341,0,4553,9,4,3812,11110000
193,acguns.qc,4227,ACprojectile_expireboom,4364,0,4614,0,0,3865,00000000
194,acguns.qc,4227,ACprojectile_touchboom,4388,0,4668,3,0,3893,00000000
195,acguns.qc,4227,ACsuperspike_touch,4411,0,4784,1,0,3963,00000000
196,acguns.qc,4227,ACspike_touch,4430,0,4825,0,0,3989,00000000
197,acguns.qc,4227,AC_spike,4474,0,4877,0,3,4007,33100000
198,acguns.qc,4227,AC_bullet,4483,0,4926,0,3,4040,33100000
199,acguns.qc,4227,AClaser_touch,4514,0,4972,3,0,4070,00000000
200,acguns.qc,4227,AC_laser,4570,0,5034,0,3,4105,33100000
201,acguns.qc,4227,LaunchLaser,4596,0,5085,6,2,4139,33000000
202,acguns.qc,4227,AC_rocket,4647,0,5133,0,3,4170,33100000
203,acguns.qc,4227,mine_boom,4657,0,5188,0,0,4206,00000000
204,acguns.qc,4227,mine_activated,4667,0,5205,0,0,4216,00000000
205,acguns.qc,4227,bomb_rotate,4682,0,5235,0,0,4242,00000000
206,acguns.qc,4227,AC_bomb,4699,0,5291,0,3,4282,33100000
207,acguns.qc,4227,AC_mine,4707,0,5346,0,3,4314,33100000
208,acguns.qc,4227,paveway_fly,4715,0,5390,6,0,4339,00000000
209,acguns.qc,4227,AC_paveway,4742,0,5486,10,3,4431,33100000
210,acguns.qc,4227,detpak_boom,4753,0,5577,0,0,4498,00000000
211,acguns.qc,4227,detpak_active,4765,0,5670,0,0,4551,00000000
212,acguns.qc,4227,detpak_fall,4779,0,5691,0,0,4564,00000000
213,acguns.qc,4227,AC_detpak,4813,0,5747,0,2,4592,33000000
214,acguns.qc,4227,ACmissile_home,4837,0,5795,22,0,4620,00000000
215,acguns.qc,4227,AC_seekingmissile,4889,0,5989,0,4,4784,33110000
216,acguns.qc,4227,AC_heatseeker,4907,0,6065,0,3,4830,33100000
217,acguns.qc,4227,AC_miniseeker,4921,0,6102,0,3,4854,33100000
218,acguns.qc,4227,AC_bigseeker,4935,0,6139,0,3,4877,33100000
219,acguns.qc,4227,AC_sidewinder,4964,0,6176,0,3,4900,33100000
220,acguns.qc,4227,AC_amraam,4995,0,6213,0,3,4924,33100000
221,acguns.qc,4227,AC_stinger,5021,0,6250,0,3,4949,33100000
222,acguns.qc,4227,AC_maverick,5048,0,6287,0,3,4973,33100000
223,acguns.qc,4227,AC_hellfire,5076,0,6324,0,3,4997,33100000
224,acguns.qc,4227,s_pexplode0,5088,0,6361,0,0,5023,00000000
225,acguns.qc,4227,s_pexplode1,5100,0,6363,0,0,5024,00000000
226,acguns.qc,4227,s_pexplode2,5112,0,6365,0,0,5025,00000000
227,acguns.qc,4227,s_pexplode3,5124,0,6367,0,0,5026,00000000
228,acguns.qc,4227,s_pexplode4,5136,0,6369,0,0,5027,00000000
229,acguns.qc,4227,s_pexplode5,5148,0,6371,0,0,5028,00000000
230,acguns.qc,4227,PlasmaExplosion,5179,0,6373,0,0,5029,00000000
231,acguns.qc,4227,Plasma_Watercheck,5195,0,6386,1,0,5037,00000000
232,acguns.qc,4227,ACplasma_touch,5226,0,6421,1,0,5053,00000000
233,acguns.qc,4227,AC_plasma,5279,0,6465,0,3,5085,33100000
234,acguns.qc,4227,flare_touch,5289,0,6523,0,0,5128,00000000
235,acguns.qc,4227,AC_Flare,5326,0,6527,1,0,5128,00000000
236,ac.qc,5335,cammy_think,5341,0,6613,0,0,5193,00000000
237,ac.qc,5335,target_think,5353,0,6626,0,0,5200,00000000
238,ac.qc,5335,vehicle_think,5366,0,6639,0,0,5207,00000000
239,ac.qc,5335,Create_chasecam,5395,0,6662,1,0,5218,00000000
240,ac.qc,5335,Check_minsmaxs,5411,0,6712,0,1,5240,10000000
241,ac.qc,5335,Throw_ACgib,5435,0,6747,0,0,5262,00000000
242,ac.qc,5335,AC_Explode,5447,0,6789,0,0,5282,00000000
243,ac.qc,5335,AC_Obituary,6027,0,6821,4,2,5286,11000000
244,ac.qc,5335,AC_aim,6039,0,6981,17,2,5391,11000000
245,ac.qc,5335,AC_aim2,6046,0,7134,17,2,5538,11000000
246,ac.qc,5335,T_ACTouch,6146,0,7289,4,0,5686,00000000
247,ac.qc,5335,AC_Fall,6156,0,7542,9,0,5836,00000000
248,ac.qc,5335,AC_Die,6164,0,7581,0,0,5876,00000000
249,he.qc,6171,T_HETouch,6189,0,7606,4,0,5884,00000000
250,he.qc,6171,HE_Fall,6210,0,7835,9,0,6010,00000000
251,he.qc,6171,HE_Die,6218,0,7873,0,0,6052,00000000
252,plane.qc,6225,jet_sound,6387,0,7898,3,0,6059,00000000
253,plane.qc,6225,plane_upright,6397,0,8009,4,0,6099,00000000
254,plane.qc,6225,Turn_plane,6411,0,8058,16,4,6134,31110000
255,plane.qc,6225,Steer_plane,6422,0,8218,8,3,6230,11100000
256,plane.qc,6225,Check_startlanded,6434,0,8373,1,0,6346,00000000
257,plane.qc,6225,setplanespeed,6452,0,8409,4,3,6379,11100000
258,ground.qc,6466,gv_tilt,6476,0,8443,21,0,6405,00000000
259,ground.qc,6466,hv_tilt,6484,0,8611,22,1,6606,10000000
260,ground.qc,6466,Turn_groundveh,6492,0,8803,21,3,6817,31100000
261,ground.qc,6466,Steer_groundveh,6507,0,9127,7,2,7063,11000000
262,ground.qc,6466,Turn_hover,6523,0,9287,22,3,7160,31100000
263,ground.qc,6466,Steer_hover,6534,0,9612,7,2,7400,11000000
264,ground.qc,6466,GV_aim,6546,0,9729,16,2,7471,11000000
265,ground.qc,6466,GV_Die,6553,0,9871,0,0,7610,00000000
266,plane1.qc,6560,ac1_currentammo,6639,0,9896,0,0,7621,00000000
267,plane1.qc,6560,ac1_steer,6690,0,9932,16,0,7646,00000000
268,plane1.qc,6560,ac1_attack,6700,0,10164,7,0,7809,00000000
269,plane1.qc,6560,start_aircraft1,6711,0,10430,2,0,8045,00000000
270,plane2.qc,6727,ac2_currentammo,6772,0,10512,0,0,8094,00000000
271,plane2.qc,6727,ac2_steer,6842,0,10548,15,0,8117,00000000
272,plane2.qc,6727,ac2_attack,6852,0,10792,7,0,8279,00000000
273,plane2.qc,6727,start_aircraft2,6863,0,11030,2,0,8495,00000000
274,plane3.qc,6879,ac3_currentammo,6906,0,11112,0,0,8545,00000000
275,plane3.qc,6879,ac3_steer,6922,0,11148,15,0,8567,00000000
276,plane3.qc,6879,ac3_attack,6932,0,11410,7,0,8772,00000000
277,plane3.qc,6879,start_aircraft3,6943,0,11657,2,0,8970,00000000
278,plane4.qc,6959,ac4_currentammo,6969,0,11739,0,0,9019,00000000
279,plane4.qc,6959,ac4_steer,7020,0,11775,15,0,9040,00000000
280,plane4.qc,6959,ac4_attack,7030,0,12012,7,0,9197,00000000
281,plane4.qc,6959,start_aircraft4,7041,0,12316,2,0,9509,00000000
282,plane5.qc,7057,ac5_currentammo,7084,0,12400,0,0,9559,00000000
283,plane5.qc,7057,ac5_steer,7135,0,12436,15,0,9581,00000000
284,plane5.qc,7057,ac5_attack,7145,0,12656,7,0,9729,00000000
285,plane5.qc,7057,start_aircraft5,7156,0,12914,2,0,9950,00000000
286,helo1.qc,7172,he1_currentammo,7198,0,12996,0,0,10000,00000000
287,helo1.qc,7172,he1_steer,7267,0,13032,16,0,10022,00000000
288,helo1.qc,7172,he1_attack,7277,0,13492,7,0,10330,00000000
289,helo1.qc,7172,start_helo1,7288,0,13730,2,0,10535,00000000
290,ground1.qc,7300,gv1_steer,7490,0,13807,14,0,10581,00000000
291,ground1.qc,7300,gv1_attack,7500,0,14127,8,0,10788,00000000
292,ground1.qc,7300,gv1_currentammo,7527,0,14247,0,0,10893,00000000
293,ground1.qc,7300,start_groundveh1,7577,0,14281,2,0,10913,00000000
294,ground2.qc,7594,gv2_steer,7605,0,14423,14,0,11016,00000000
295,ground2.qc,7594,gv2_attack,7615,0,14782,8,0,11215,00000000
296,ground2.qc,7594,gv2_currentammo,7643,0,15036,0,0,11439,00000000
297,ground2.qc,7594,start_groundveh2,7710,0,15072,2,0,11461,00000000
298,ground3.qc,7727,gv3_steer,7891,0,15241,14,0,11572,00000000
299,ground3.qc,7727,gv3_attack,7924,0,15599,9,0,11780,00000000
300,ground3.qc,7727,gv3_currentammo,7987,0,15865,0,0,11978,00000000
301,ground3.qc,7727,start_groundveh3,8051,0,15901,2,0,12002,00000000
302,ground4.qc,8068,gv4_steer,8232,0,16070,19,0,12113,00000000
303,ground4.qc,8068,gv4_attack,8242,0,16502,8,0,12439,00000000
304,ground4.qc,8068,gv4_currentammo,8253,0,16768,0,0,12645,00000000
305,ground4.qc,8068,start_groundveh4,8317,0,16804,2,0,12666,00000000
306,world.qc,8334,main,9948,0,16975,0,0,12778,00000000
307,world.qc,8334,worldspawn,11112,0,17198,2,0,12890,00000000
308,world.qc,8334,StartFrame,11144,0,17718,0,0,12970,00000000
309,world.qc,8334,bodyque,11155,0,17748,0,0,12982,00000000
310,world.qc,8334,InitBodyQue,11171,0,17749,1,0,12982,00000000
311,world.qc,8334,CopyToBodyQue,11183,0,17783,0,1,13005,10000000
312,control.qc,11197,trigger_runway_touch,11208,0,17819,0,0,13040,00000000
313,control.qc,11197,toffrunway_start,11240,0,17845,1,0,13057,00000000
314,control.qc,11197,trigger_toffrunway,11257,0,17870,0,0,13067,00000000
315,control.qc,11197,landrunway_start,11276,0,17876,1,0,13071,00000000
316,control.qc,11197,trigger_landrunway,11293,0,17901,0,0,13080,00000000
317,control.qc,11197,control_think,11312,0,17907,0,0,13084,00000000
318,control.qc,11197,start_control,11350,0,17963,0,0,13124,00000000
319,control.qc,11197,info_control,11370,0,17998,0,0,13162,00000000
320,control.qc,11197,comm_control,12115,0,18042,5,1,13188,10000000
321,admin.qc,12128,Adminmenu,12242,0,18487,0,0,13333,00000000
322,admin.qc,12128,CheckAdminCmd,12685,0,18509,4,0,13341,00000000
323,client.qc,12699,info_intermission,12709,0,18881,0,0,13500,00000000
324,client.qc,12699,SetChangeParms,12727,0,18882,0,0,13500,00000000
325,client.qc,12699,SetNewParms,12742,0,18928,0,0,13528,00000000
326,client.qc,12699,DecodeLevelParms,12754,0,18941,0,0,13532,00000000
327,client.qc,12699,FindIntermission,12849,0,18963,2,0,13545,00000000
328,client.qc,12699,GotoNextMap,12885,0,19007,2,0,13557,00000000
329,client.qc,12699,ExitIntermission,15631,0,19054,0,0,13573,00000000
330,client.qc,12699,IntermissionThink,15648,0,19176,0,0,13597,00000000
331,client.qc,12699,execute_changelevel,15666,0,19191,1,0,13607,00000000
332,client.qc,12699,changelevel_touch,15705,0,19268,1,0,13641,00000000
333,client.qc,12699,trigger_changelevel,15760,0,19309,0,0,13662,00000000
334,client.qc,12699,respawn,15780,0,19318,0,0,13668,00000000
335,client.qc,12699,ClientKill,15799,0,19355,0,0,13686,00000000
336,client.qc,12699,CheckSpawnPoint,15810,0,19383,0,1,13701,30000000
337,client.qc,12699,SelectAirSpawnPoint,15882,0,19385,10,0,13705,00000000
338,client.qc,12699,PutClientInServer,15963,0,19502,1,0,13755,00000000
339,client.qc,12699,info_player_start,15981,0,19654,0,0,13858,00000000
340,client.qc,12699,info_player_start2,15999,0,19680,3,0,13874,00000000
341,client.qc,12699,testplayerstart,16018,0,19720,0,0,13898,00000000
342,client.qc,12699,info_player_deathmatch,16034,0,19721,0,0,13899,00000000
343,client.qc,12699,info_player_coop,16057,0,19807,0,0,13952,00000000
344,client.qc,12699,NextLevel,16100,0,19830,1,0,13966,00000000
345,client.qc,12699,CheckRules,16130,0,19899,2,0,13997,00000000
346,client.qc,12699,PlayerDeathThink,16574,0,19920,8,0,14008,00000000
347,client.qc,12699,PlayerPreThink,16631,0,20315,6,0,14217,00000000
348,client.qc,12699,CheckPowerups,16646,0,20563,0,0,14391,00000000
349,client.qc,12699,SetCameraPlace,16660,0,20565,8,0,14392,00000000
350,client.qc,12699,PlayerPostThink,16675,0,20699,7,0,14534,00000000
351,client.qc,12699,ClientConnect,16710,0,20943,3,0,14667,00000000
352,client.qc,12699,ClientDisconnect,16753,0,20951,0,0,14672,00000000
353,player.qc,16770,player_stand1,16780,0,20974,0,0,14677,00000000
354,player.qc,16770,player_run,16794,0,21012,0,0,14699,00000000
355,player.qc,16770,player_shot1,16805,0,21053,0,0,14725,00000000
356,player.qc,16770,player_shot2,16818,0,21061,0,0,14731,00000000
357,player.qc,16770,player_shot3,16831,0,21065,0,0,14734,00000000
358,player.qc,16770,player_shot4,16844,0,21069,0,0,14737,00000000
359,player.qc,16770,player_shot5,16857,0,21073,0,0,14740,00000000
360,player.qc,16770,player_shot6,16870,0,21077,0,0,14743,00000000
361,player.qc,16770,player_axe1,16883,0,21081,0,0,14746,00000000
362,player.qc,16770,player_axe2,16895,0,21085,0,0,14749,00000000
363,player.qc,16770,player_axe3,16907,0,21089,0,0,14751,00000000
364,player.qc,16770,player_axe4,16919,0,21093,0,0,14754,00000000
365,player.qc,16770,player_axeb1,16931,0,21097,0,0,14757,00000000
366,player.qc,16770,player_axeb2,16944,0,21101,0,0,14760,00000000
367,player.qc,16770,player_axeb3,16957,0,21105,0,0,14763,00000000
368,player.qc,16770,player_axeb4,16970,0,21109,0,0,14766,00000000
369,player.qc,16770,player_axec1,16983,0,21113,0,0,14768,00000000
370,player.qc,16770,player_axec2,16996,0,21117,0,0,14771,00000000
371,player.qc,16770,player_axec3,17009,0,21121,0,0,14774,00000000
372,player.qc,16770,player_axec4,17022,0,21125,0,0,14777,00000000
373,player.qc,16770,player_axed1,17035,0,21129,0,0,14780,00000000
374,player.qc,16770,player_axed2,17048,0,21133,0,0,14783,00000000
